order_id,customer_id,product_id,distance,product_rating,date,review,time_taken
0,363,2411,3.08,5,24-11-22,1,16
1,593,3535,9.42,5,11-11-22,1,24
2,489,1131,4.97,5,3-6-22,1,19
3,901,2376,33.6,3,12-5-22,0,57
4,822,1979,21.44,1,7-9-22,-1,43
5,883,3240,27.56,3,4-6-22,0,36
6,165,1077,32.32,3,14-4-22,0,56
7,692,3383,18.61,5,5-5-22,1,23
8,202,2011,10.25,5,13-7-22,1,31
9,497,2498,24.16,3,14-2-22,0,43
10,190,3020,9.7,2,19-2-22,-1,14
11,735,2569,9.13,5,25-7-22,1,27
12,666,3571,10.2,1,7-1-22,-1,26
13,429,1428,19.87,5,16-5-22,1,37
14,275,3641,28.0,5,31-12-22,1,45
15,441,3503,20.29,5,6-12-22,1,39
16,887,538,24.27,2,11-8-22,-1,27
17,524,3521,20.13,5,11-10-22,1,30
18,157,3661,34.06,4,19-12-22,1,52
19,217,533,41.21,5,11-2-22,1,46
20,831,1953,33.0,4,15-6-22,1,40
21,544,3711,32.05,3,4-2-22,0,56
22,444,3286,25.9,3,3-8-22,0,50
23,46,937,9.47,4,23-3-22,1,17
24,107,2340,1.09,1,21-1-22,-1,24
25,169,1837,22.01,5,13-4-22,1,40
26,447,3135,22.48,2,2-11-22,-1,41
27,806,3675,41.46,3,1-12-22,0,50
28,143,2992,4.08,2,17-11-22,-1,16
29,142,3685,15.76,3,1-10-22,0,30
30,445,3690,40.45,3,1-10-22,0,42
31,634,2956,2.52,5,11-9-22,1,16
32,328,2858,24.24,2,9-2-22,-1,34
33,788,2799,44.01,5,6-5-22,1,65
34,321,399,13.52,4,26-12-22,1,25
35,771,2712,10.5,5,15-12-22,1,31
36,605,1614,28.22,1,18-12-22,-1,41
37,216,1144,21.56,3,8-11-22,0,43
38,50,3538,13.55,2,25-1-22,-1,21
39,396,1382,42.51,2,9-4-22,-1,53
40,266,3014,33.45,3,21-7-22,0,41
41,818,3346,6.02,2,4-12-22,-1,20
42,452,2471,4.93,5,4-11-22,1,14
43,52,968,24.66,2,19-1-22,-1,39
44,518,2039,45.24,2,10-4-22,-1,47
45,178,3262,6.02,2,18-5-22,-1,25
46,448,3615,20.86,5,24-2-22,1,37
47,119,3680,21.94,2,11-4-22,-1,44
48,145,2615,25.88,2,17-2-22,-1,30
49,791,3071,32.48,5,12-1-22,1,38
50,722,543,18.91,5,5-7-22,1,36
51,141,3545,31.17,3,15-6-22,0,47
52,493,596,24.47,3,4-12-22,0,35
53,140,1019,23.01,1,2-5-22,-1,37
54,256,1223,24.14,5,4-2-22,1,30
55,932,1949,29.39,5,22-1-22,1,35
56,414,2560,8.24,3,13-5-22,0,28
57,740,1784,28.72,3,3-4-22,0,38
58,639,2681,13.4,3,22-10-22,0,30
59,559,1439,46.17,2,22-5-22,-1,52
60,5,1349,10.98,3,18-1-22,0,24
61,282,2907,16.02,3,7-12-22,0,29
62,747,599,26.33,1,12-12-22,-1,44
63,606,3518,41.19,5,7-5-22,1,62
64,289,1952,26.0,5,21-6-22,1,39
65,903,2015,15.9,3,4-7-22,0,25
66,294,3520,22.31,3,9-12-22,0,36
67,920,839,10.93,5,14-12-22,1,28
68,469,2373,5.3,2,29-10-22,-1,13
69,806,1747,28.0,5,23-4-22,1,54
70,754,65,19.82,4,14-6-22,1,24
71,613,462,8.94,5,14-5-22,1,29
72,259,3662,24.19,4,17-10-22,1,40
73,596,3643,43.59,1,11-5-22,-1,70
74,654,990,43.21,5,26-7-22,1,46
75,668,1329,27.07,3,4-4-22,0,51
76,889,183,13.9,5,24-2-22,1,22
77,376,1469,26.3,5,27-2-22,1,42
78,754,1615,43.38,2,15-7-22,-1,61
79,567,3380,20.95,2,3-1-22,-1,40
80,523,2963,43.93,3,30-10-22,0,58
81,343,470,23.79,3,4-6-22,0,36
82,364,1965,38.94,1,21-1-22,-1,48
83,184,2813,5.48,3,24-7-22,0,24
84,88,1452,27.45,5,5-10-22,1,37
85,660,2820,2.75,4,20-1-22,1,14
86,775,3712,44.82,3,13-1-22,0,45
87,21,54,40.27,5,25-12-22,1,53
88,365,963,5.33,1,27-2-22,-1,30
