order_id,customer_id,product_id,distance,product_rating,date,review,time_taken,place_id,product,product_description,product_type,place_type,place_name,place_address,place_phone_no
0,363,2411,3.08,5,24-11-22,1,16,67, Moin/Moi Moi,"A traditional food made from beans, peppers, spices, and seasonings. This inexpensive and nutritious meal can be served any time of the day. Asides from the special note it adds as a side dish, it is common street food in Nigeria that s loved by adults and kids.",meal,restaurant,Topever Restaurant,"39, Market Street, Shomolu, Shomolu, Lagos, Nigeria","0806 209 8455, 0803 488 6706"
1,593,3535,9.42,5,11-11-22,1,24,78,Meat Pie,"A mix of flour, butter, salt, sugar, baking powder, and egg batter kneaded and filled with seasoned ground beef, carrots and potatoes make a comfort snack for you. Whether you are eating it as brunch, breakfast, or snack, you will enjoy this light and flaky delicacy.",snacks,cafes,Ziya Delicacy Boutique,"26B Oju Olobun Cl, Lagos, Nigeria",
2,489,1131,4.97,5,3-6-22,1,19,84,Zobo,"Zobo is made by boiling the hibiscus plant flower in water together with other ingredients such as ginger, garlic, pineapple and the rest of them you wish to add to your own taste.",drink,cafes,Cafe One Yaba,"E-Center, 1-11 Commercial Ave, Sabo, Yaba, Lagos, Nigeria",
3,901,2376,33.6,3,12-5-22,0,57,65,Ewedu – Jute Leaves Soup,"This is a unique soup made from jute leaves. An easy-make soup with a slimy texture to aid the eating of swallows like eba, amala and semo. This green soup is rich and delicious. You can serve it with beans soup, beef, fish, or chicken stew.",meal,restaurant,Sweetspot Eatery And African Dishes,"20, Oladoyinbo Street, Ikeja, Lagos, Nigeria","0703 384 2618, 0807 595 3779"
4,822,1979,21.44,1,7-9-22,-1,43,42,Yam Pottage/Yam Porridge,"This yam recipe uses puna yam boiled and mashed with pepper mix blend, onions, seasoning, and palm oil. It has a bright color with an amazing taste. Garnish it with any leafy vegetable and serve it with the protein of your choice.",meal,restaurant,Karma Restaurant,"17, Burma Road, Apapa, Lagos, Nigeria","0816 569 6021, 0909 034 9081"
5,883,3240,27.56,3,4-6-22,0,36,59,Plantain Chips,"Plantain Chips offer a crispy alternative to traditional potato chips and have gained immense popularity in Nigeria. Thinly sliced plantains are deep-fried until they acquire a satisfying crunch. These chips come in various flavors, from lightly salted to spicy and tangy, catering to different taste preferences.",snacks,restaurant,Onyemaechi Restaurant,"527, Alaba International Market, Ojo Badagry Expressway, Ojo, Lagos, Nigeria",0803 484 1595
6,165,1077,32.32,3,14-4-22,0,56,81,Daiquiri,"If you like your liquor sweetish, then the daiquiri is the way to go. This rum-based cocktail combines a mix of rum, citrus juice (typically lime) and sugar or any other sweetner. It also has other variations like the widely popular strawberry daiquiri.",drink,cafes,La Pointe Cafe,"4A Akin Olugbade Street, Victoria Island, Lagos, Nigeria",
7,692,3383,18.61,5,5-5-22,1,23,70,Chicken Pie,This is another version of meat pie. The difference from the classic one is that the filling is chicken instead of beef. It is loaded with chicken flavor and equally delicious.,snacks,cafes,Pause | Café & Espresso Bar,"1 Bisway St, Lekki, Lagos, Nigeria",
8,202,2011,10.25,5,13-7-22,1,31,44,Grilled fish,"This is a mode of preserving fish by smoking or drying the fish. The smoked or grilled fish becomes a flavourful addition to any of your food. It infuses a unique smoky flavor that changes the entire taste of your meal. Normally, you can find this in the African market, but you can make your own at home.",meal,restaurant,La Veranda Restaurant,"17, Oju Olobun Street, Victoria Island, Lagos, Nigeria",0812 111 1222
9,497,2498,24.16,3,14-2-22,0,43,3,Puff Puff,"This is another lovely snack twining with Nigerian buns. Puff puff consists of yeast instead of baking powder. The batter is deep-fried in hot oil to get the golden-brown ball that you can pair with your favorite juice. It is simple, inexpensive, and irresistibly sweet.",snacks,restaurant,Aldente,"S11 Lagos City Mall, Onikan, Lagos, Nigeria","01 444 3944, 01 791 2942"
10,190,3020,9.7,2,19-2-22,-1,14,43,Chicken burger,"A chicken burger is made with ground chicken that is formed into a patty and cooked. It is typically served on a bun with cheese, lettuce, tomato, onion, pickles, and condiments such as ketchup, mustard, and mayonnaise",snacks,restaurant,La Giara Restaurant,"30 Mobolaji Bank Anthony Way, Ikeja, Lagos, Nigeria",01 280 0100
11,735,2569,9.13,5,25-7-22,1,27,9,Puff Puff,"This is another lovely snack twining with Nigerian buns. Puff puff consists of yeast instead of baking powder. The batter is deep-fried in hot oil to get the golden-brown ball that you can pair with your favorite juice. It is simple, inexpensive, and irresistibly sweet.",snacks,restaurant,Bangkok Restaurant,"Plot 244A, Muri Okunntola Street, Victoria Island, Lagos, Nigeria","0803 307 7666, 0706 217 3888"
12,666,3571,10.2,1,7-1-22,-1,26,80,Puff Puff,"This is another lovely snack twining with Nigerian buns. Puff puff consists of yeast instead of baking powder. The batter is deep-fried in hot oil to get the golden-brown ball that you can pair with your favorite juice. It is simple, inexpensive, and irresistibly sweet.",snacks,cafes,Stories Lagos,,
13,429,1428,19.87,5,16-5-22,1,37,11,Ayamase Stew (Ofada Stew),"Ofada is rice that is cultivated locally. It is usually unprocessed and has a unique native flavor. To eat this rice, we make a special ayamase stew. It is blended green pepper with onions, locust beans, and traditional spices. It is packed with bold flavor and irresistibly delicious.",meal,restaurant,Burgy's Fast Food & Restaurant,"72 Awolowo Road, Ikoyi, Lagos, Nigeria",01 268 6496
14,275,3641,28.0,5,31-12-22,1,45,84,Meat Floss,Originating from northern Nigeria is this shredded dried meat floss. It is a delicious hair-like meat that is eaten as snacks or sprinkled over rice stuffed inside masa or bread.,snacks,cafes,Cafe One Yaba,"E-Center, 1-11 Commercial Ave, Sabo, Yaba, Lagos, Nigeria",
15,441,3503,20.29,5,6-12-22,1,39,76,Puff Puff,"This is another lovely snack twining with Nigerian buns. Puff puff consists of yeast instead of baking powder. The batter is deep-fried in hot oil to get the golden-brown ball that you can pair with your favorite juice. It is simple, inexpensive, and irresistibly sweet.",snacks,cafes,MY COFFEE,,
16,887,538,24.27,2,11-8-22,-1,27,42,Kunun zaki,"It is made by first allowing the grain seeds to germinate, and then the seeds are soaked in water for a few days after which it is blended together with sweet potatoes and ginger or pepper to form a smooth paste.",drink,restaurant,Karma Restaurant,"17, Burma Road, Apapa, Lagos, Nigeria","0816 569 6021, 0909 034 9081"
17,524,3521,20.13,5,11-10-22,1,30,77,Gala,"Gala, a popular on-the-go snack, has become synonymous with convenience and flavor. These savory meat pies consist of a flaky pastry crust filled with a well-seasoned mixture of minced meat, vegetables, and spices.",snacks,cafes,SEE Lagos,"36b Wole Ariyo St, Lekki Phase I, Lagos, Nigeria",
18,157,3661,34.06,4,19-12-22,1,52,85,Gala,"Gala, a popular on-the-go snack, has become synonymous with convenience and flavor. These savory meat pies consist of a flaky pastry crust filled with a well-seasoned mixture of minced meat, vegetables, and spices.",snacks,cafes,Cafe One Yaba,"E-Center, 1-11 Commercial Ave, Sabo, Yaba, Lagos, Nigeria",
19,217,533,41.21,5,11-2-22,1,46,42,Kunnu Aya,"A milky drink made from Tiger nuts. You could also use rice as the base. Combine with spices, other syrups – zobo, tamarind etc",drink,restaurant,Karma Restaurant,"17, Burma Road, Apapa, Lagos, Nigeria","0816 569 6021, 0909 034 9081"
20,831,1953,33.0,4,15-6-22,1,40,40,Jollof Rice – Oven Baked,Oven-baked jollof rice is a variation of the deep-flavored classic jollof rice. It simply uses the same ingredients for Jollof but is cooked in the oven. It is an easy way to make delicious Jollof without compromising its flavor.,meal,restaurant,Home Restaurant & Bar,"81 Ogudu G.R.A, Ojota, Lagos, Nigeria",0802 346 5491
21,544,3711,32.05,3,4-2-22,0,56,88,Chicken Pie,This is another version of meat pie. The difference from the classic one is that the filling is chicken instead of beef. It is loaded with chicken flavor and equally delicious.,snacks,cafes,Krispy Kreme," 389C Herbert Macaulay Way, Yaba, Lagos, Nigeria",
22,444,3286,25.9,3,3-8-22,0,50,63,Plantain Chips,"Plantain Chips offer a crispy alternative to traditional potato chips and have gained immense popularity in Nigeria. Thinly sliced plantains are deep-fried until they acquire a satisfying crunch. These chips come in various flavors, from lightly salted to spicy and tangy, catering to different taste preferences.",snacks,restaurant,Rehoboth Delicious,"13, Deji Olamiji, Gbagada, Kosofe, Lagos, Nigeria","0809 156 0927, 0802 315 7707"
23,46,937,9.47,4,23-3-22,1,17,73,Soya Milk,"Soya Milk is a refreshing nutritious drink made from plant protein. It made from soya beans, and is also very delicious. Soy milk is rich in sodium, potassium, calcium and iron.",drink,cafes,MyYa’s Cafe,"Plot 1, Block, 4 Admiralty Rd, Lekki Phase I, Lagos, Nigeria",
24,107,2340,1.09,1,21-1-22,-1,24,63,Chicken Stew,"How about a bowl of chicken cooked in a pot of pepper with aromatics and seasonings? This home-style stew bangs whenever served with white rice and spaghetti. Simple one-pot chicken stew is deep, exotic, and flavourful.",meal,restaurant,Rehoboth Delicious,"13, Deji Olamiji, Gbagada, Kosofe, Lagos, Nigeria","0809 156 0927, 0802 315 7707"
25,169,1837,22.01,5,13-4-22,1,40,34,Native Jollof Rice,"While the regular Jollof is made with groundnut oil, our native jollof is made with palm oil. The rice is cooked with pepper, spices, seasoning, and hearty protein. You can enjoy the one-pot comfort meal anytime in the day.",meal,restaurant,Enjoyurmouth.com,"Lekki Ajah, Lagos, Lagos State Nigeria",088034310244
26,447,3135,22.48,2,2-11-22,-1,41,51,Pound Cake,"African pound cake is a good choice for you. In addition, this pound cake is chewy and requires pantry-staple ingredients. You easily bake this for snacks for school children or family picnics.",snacks,restaurant,Mama Cass Restaurants Limited,"4a Oyeleke Street, Off Kudirat Abiola Way, Oregun, Ikeja, Lagos, Nigeria","0807 229 2436, 0807 22 92447, 0807 229 2446"
27,806,3675,41.46,3,1-12-22,0,50,86,Wheat Meat Pie (Beef Pie),"Instead of flour, wheat flour is used to form the batter for these exotic Nigerian snacks. The pie is filled with beef, potatoes, and other veggies. It is a healthier version of meat pies with a distinct nutty flavor.",snacks,cafes,Hot Crust Cafe,"Alpha Mall, 117 Ogudu Rd, Ogudu, Lagos, Nigeria",
28,143,2992,4.08,2,17-11-22,-1,16,40,Beef Burger,"A beef burger is made with ground beef that is formed into a patty and cooked. It is typically served on a bun with cheese, lettuce, tomato, onion, pickles, and condiments such as ketchup, mustard, and mayonnaise.",snacks,restaurant,Home Restaurant & Bar,"81 Ogudu G.R.A, Ojota, Lagos, Nigeria",0802 346 5491
29,142,3685,15.76,3,1-10-22,0,30,86,Gala,"Gala, a popular on-the-go snack, has become synonymous with convenience and flavor. These savory meat pies consist of a flaky pastry crust filled with a well-seasoned mixture of minced meat, vegetables, and spices.",snacks,cafes,Hot Crust Cafe,"Alpha Mall, 117 Ogudu Rd, Ogudu, Lagos, Nigeria",
30,445,3690,40.45,3,1-10-22,0,42,87,Meat Pie,"A mix of flour, butter, salt, sugar, baking powder, and egg batter kneaded and filled with seasoned ground beef, carrots and potatoes make a comfort snack for you. Whether you are eating it as brunch, breakfast, or snack, you will enjoy this light and flaky delicacy.",snacks,cafes,Ouida Cafe,"3c Oba Dosumu St, Ikeja GRA, Lagos, Nigeria",
31,634,2956,2.52,5,11-9-22,1,16,38,Fish Pastry,"meal_description    Basically, it is called fish pastry because the filling is fish. It is another popular snack that you can get on the street. The fish pastry is sweet, crispy, and crunchy.",snacks,restaurant,Goshen Restaurant And Bar,"9/10, Iponri Powa Dhopping Plaza, Surulere, Lagos, Nigeria"," 0803 725 9431, 0803 194 4299"
32,328,2858,24.24,2,9-2-22,-1,34,31,Plantain Chips,"Plantain Chips offer a crispy alternative to traditional potato chips and have gained immense popularity in Nigeria. Thinly sliced plantains are deep-fried until they acquire a satisfying crunch. These chips come in various flavors, from lightly salted to spicy and tangy, catering to different taste preferences.",snacks,restaurant,Eat It All,"46, Bode Thomas Street, Ikeja, Lagos, Nigeria",0803 049 1095
33,788,2799,44.01,5,6-5-22,1,65,26,Chin Chin,"Everyone likes sweet and crunchy chin chin deep-fried in hot oil. Make your sweet chin chin snacks at home from a batter of flour, sugar, milk, butter, and nutmeg. You can cut it into any shape you want and munch on it between work. An excellent starter and a winner on tables during celebrations.",snacks,restaurant,Cuisine Africana Restaurant,"54 Shomade Crescent, Surulere, Lagos, Nigeria",01 585 2005
34,321,399,13.52,4,26-12-22,1,25,31,Martini,"Unarguably one of the most popular cocktails, the martini has various various such as the apple martini, dry martini and more. The standard martini is however made with gin and vermouth, and garnished with an olive or a lemon twist.",drink,restaurant,Eat It All,"46, Bode Thomas Street, Ikeja, Lagos, Nigeria",0803 049 1095
35,771,2712,10.5,5,15-12-22,1,31,20,Pound Cake,"African pound cake is a good choice for you. In addition, this pound cake is chewy and requires pantry-staple ingredients. You easily bake this for snacks for school children or family picnics.",snacks,restaurant,China Town Express Restaurant,"14 Idowu Martins Street, Lagos Island, Lagos, Nigeria","0704 095 4224, 0806 454 2582"
36,605,1614,28.22,1,18-12-22,-1,41,21,Chicken Pepper Soup,"Are you looking for a bowl of comforting and satisfying delicacy? This hot and spicy chicken pepper soup is a great choice. It is hearty, nutrient-dense, and bold with elegant flavor. Cut in some green plantains or potatoes while cooking and enjoy.",meal,restaurant,Chinaville Chinese Restaurant,"9B, Abagbon Close, Off Ologun Agbaje Street, Victoria Island, Lagos, Nigeria","0802 314 1561, 0802 314 1560"
37,216,1144,21.56,3,8-11-22,0,43,85,Kunnu Aya,"A milky drink made from Tiger nuts. You could also use rice as the base. Combine with spices, other syrups – zobo, tamarind etc",drink,cafes,Cafe One Yaba,"E-Center, 1-11 Commercial Ave, Sabo, Yaba, Lagos, Nigeria",
38,50,3538,13.55,2,25-1-22,-1,21,79,Gala,"Gala, a popular on-the-go snack, has become synonymous with convenience and flavor. These savory meat pies consist of a flaky pastry crust filled with a well-seasoned mixture of minced meat, vegetables, and spices.",snacks,cafes,Bourbon House Cafe,"741 Adeola Hopewell St, Victoria Island, Lagos, Nigeria",
39,396,1382,42.51,2,9-4-22,-1,53,8, Moin/Moi Moi,"A traditional food made from beans, peppers, spices, and seasonings. This inexpensive and nutritious meal can be served any time of the day. Asides from the special note it adds as a side dish, it is common street food in Nigeria that s loved by adults and kids.",meal,restaurant,Ayus Restaurant And Bar,"2 Ibiyinka Olorunimbe Close, Victoria Island, Lagos, Nigeria","0703 381 4662, 0803 316 2543"
40,266,3014,33.45,3,21-7-22,0,41,42,Fish Pastry,"meal_description    Basically, it is called fish pastry because the filling is fish. It is another popular snack that you can get on the street. The fish pastry is sweet, crispy, and crunchy.",snacks,restaurant,Karma Restaurant,"17, Burma Road, Apapa, Lagos, Nigeria","0816 569 6021, 0909 034 9081"
41,818,3346,6.02,2,4-12-22,-1,20,67,Beef Burger,"A beef burger is made with ground beef that is formed into a patty and cooked. It is typically served on a bun with cheese, lettuce, tomato, onion, pickles, and condiments such as ketchup, mustard, and mayonnaise.",snacks,restaurant,Topever Restaurant,"39, Market Street, Shomolu, Shomolu, Lagos, Nigeria","0806 209 8455, 0803 488 6706"
42,452,2471,4.93,5,4-11-22,1,14,2, Doughnuts,"Doughnuts, with their delightful round shape and irresistible glazes, have captured the hearts of Nigerians with their sweet allure. These deep-fried treats are made from a yeast-based dough, typically flavored with nutmeg and often coated in a sugary glaze or sprinkled with powdered sugar.",snacks,restaurant,Afi's Restaurant,"5 Olufemi Street, Surulere, Lagos, Nigeria",01 470 3044
43,52,968,24.66,2,19-1-22,-1,39,74,Long Island Iced Tea,"Long island iced tea is made with tequila, vodka, light rum, triple sec, gin and a splash of cola.",drink,cafes,Godaïf Village,"Casa Asmarina, 26B Turnbull Rd, Ikoyi, Lagos, Nigeria",
44,518,2039,45.24,2,10-4-22,-1,47,45,Egusi Soup,The list of Nigerian soups cannot be complete without Egusi soup. Egusi soup is made from melon seed from the gourd family. The melon seed is grounded and made into a ball with a mix of leafy vegetables and pepper. There are various ways of making egusi; you will like the Egusi Ijebu Recipe and Lumpy Egusi Stew. Served it with any swallow or rice to enjoy.,meal,restaurant,Labamba Restaurant," 9, Oba Nle Aro Avenue,  Ilupeju, Lagos, Nigeria","0803 311 2093, 090 407 7928"
45,178,3262,6.02,2,18-5-22,-1,25,61,Chin Chin,"Everyone likes sweet and crunchy chin chin deep-fried in hot oil. Make your sweet chin chin snacks at home from a batter of flour, sugar, milk, butter, and nutmeg. You can cut it into any shape you want and munch on it between work. An excellent starter and a winner on tables during celebrations.",snacks,restaurant,PJ Foods,"KM 3 Lasu Iba Road, By First Gate Bus-Stop Agboroko, Ojo, Lagos","0913 427 2579, 0813 368 8523"
46,448,3615,20.86,5,24-2-22,1,37,83,Pound Cake,"African pound cake is a good choice for you. In addition, this pound cake is chewy and requires pantry-staple ingredients. You easily bake this for snacks for school children or family picnics.",snacks,cafes,Fresh Forte,"12E Admiralty Way, Lekki, Lagos, Nigeria",
47,119,3680,21.94,2,11-4-22,-1,44,86,Chin Chin,"Everyone likes sweet and crunchy chin chin deep-fried in hot oil. Make your sweet chin chin snacks at home from a batter of flour, sugar, milk, butter, and nutmeg. You can cut it into any shape you want and munch on it between work. An excellent starter and a winner on tables during celebrations.",snacks,cafes,Hot Crust Cafe,"Alpha Mall, 117 Ogudu Rd, Ogudu, Lagos, Nigeria",
48,145,2615,25.88,2,17-2-22,-1,30,13,Gala,"Gala, a popular on-the-go snack, has become synonymous with convenience and flavor. These savory meat pies consist of a flaky pastry crust filled with a well-seasoned mixture of minced meat, vegetables, and spices.",snacks,restaurant,Cera-Una-Volta Restaurant,"272 Ajose Adeogun Street, Victoria Island, Lagos, Nigeria",01 262 0357
49,791,3071,32.48,5,12-1-22,1,38,46,Puff Puff,"This is another lovely snack twining with Nigerian buns. Puff puff consists of yeast instead of baking powder. The batter is deep-fried in hot oil to get the golden-brown ball that you can pair with your favorite juice. It is simple, inexpensive, and irresistibly sweet.",snacks,restaurant,Lagoon Restaurant,"1C, Ozumba Mbadiwe Street, Victoria Island, Lagos, Nigeria","0805 555 5550, 0803 305 3536"
50,722,543,18.91,5,5-7-22,1,36,42,Pineapple Drink,"Made with the normally discarded bits of pineapple – the skin and core, this has a distinct, clear pineapple flavour. Spice with cloves, ginger and other aromatics.",drink,restaurant,Karma Restaurant,"17, Burma Road, Apapa, Lagos, Nigeria","0816 569 6021, 0909 034 9081"
